﻿Call Number Type,ISBN,Target,Date Attempted,Reason
LCCN,9780984314515,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780984314515,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780984314515,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780984314515,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780984314515,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780989055406,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780989055406,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780989055406,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780989055406,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780989055406,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9781558628,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9781558628,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9781558628,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9781558628,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9781558628,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9782296139015,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9782296139015,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9782296139015,UCB,2026-04-06,No records found in UCB.
LCCN,9782296139015,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9782296139015,UBC,2026-04-06,No records found in UBC.
LCCN,9786022042358,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9786022042358,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9786022042358,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9786022042358,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9786022042358,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788498165821,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788498165821,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788498165821,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788498165821,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788498165821,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211849,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211849,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211849,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211849,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211849,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211856,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211856,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211856,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211856,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788849211856,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181320,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181320,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181320,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181320,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181320,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181474,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181474,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181474,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181474,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788876181474,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788984323629,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788984323629,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788984323629,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788984323629,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9788984323629,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789609831253,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789609831253,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789609831253,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789609831253,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789609831253,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789799420268,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789799420268,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789799420268,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789799420268,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789799420268,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9789991939803,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9789991939803,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9789991939803,UCB,2026-04-06,No records found in UCB.
LCCN,9789991939803,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9789991939803,UBC,2026-04-06,No records found in UBC.
LCCN,9780000000002,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780000000002,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780000001009,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780000001009,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780000001009,UCB,2026-04-06,No records found in UCB.
LCCN,9780000001009,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000001009,UBC,2026-04-06,No records found in UBC.
LCCN,9780000017796,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000017802,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000017819,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000017826,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000126832,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000177070,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780000177070,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780000177070,UCB,2026-04-06,No records found in UCB.
LCCN,9780000177070,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000177070,UBC,2026-04-06,No records found in UBC.
LCCN,9780000177100,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780000177100,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780000177100,UCB,2026-04-06,No records found in UCB.
LCCN,9780000177100,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000177100,UBC,2026-04-06,No records found in UBC.
LCCN,9780000192363,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000198440,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000555014,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901033,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780000901033,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780000901033,UCB,2026-04-06,No records found in UCB.
LCCN,9780000901033,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901033,UBC,2026-04-06,No records found in UBC.
LCCN,9780000901040,OpenLibrary,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780000901040,Library of Congress,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780000901040,UCB,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780000901040,UAlberta,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780000901040,UBC,2026-04-06,Skipped due to retry window (3 days)
LCCN,9780000901088,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901095,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901101,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901125,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901132,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901149,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901163,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901170,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901187,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780000901194,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780001011427,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780001011427,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780001011427,UCB,2026-04-06,No records found in UCB.
LCCN,9780001011427,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780001011427,UBC,2026-04-06,No records found in UBC.
LCCN,9780001982925,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780002000918,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780002000918,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780002005531,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780002005531,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780002005531,UCB,2026-04-06,No records found in UCB.
LCCN,9780002005531,UAlberta,2026-04-06,No records found in UAlberta.
LCCN,9780002005531,UBC,2026-04-06,Record found but no LCCN field
LCCN,9780002005647,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780002005647,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780002005647,UCB,2026-04-06,No records found in UCB.
LCCN,9780002005647,UAlberta,2026-04-06,Record found but no LCCN field
LCCN,9780002005647,UBC,2026-04-06,No records found in UBC.
LCCN,9780002006002,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780002006002,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780002006057,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780002006057,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780002006057,UCB,2026-04-06,No records found in UCB.
LCCN,9780002006057,UAlberta,2026-04-06,Record found but no LCCN field
LCCN,9780002006057,UBC,2026-04-06,Record found but no LCCN field
LCCN,9780002006071,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780002006071,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780002006071,UCB,2026-04-06,No records found in UCB.
LCCN,9780002006071,UAlberta,2026-04-06,Record found but no LCCN field
LCCN,9780002006071,UBC,2026-04-06,No records found in UBC.
LCCN,9780002006101,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780002006101,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780002006101,UCB,2026-04-06,No records found in UCB.
LCCN,9780002006101,UAlberta,2026-04-06,Record found but no LCCN field
LCCN,9780002006101,UBC,2026-04-06,Record found but no LCCN field
LCCN,9780002006262,UAlberta,2026-04-06,Record found but no LCCN field
LCCN,9780002006699,OpenLibrary,2026-04-06,No records found in OpenLibrary.
LCCN,9780002006699,Library of Congress,2026-04-06,No records found in Library of Congress.
LCCN,9780002006699,UCB,2026-04-06,No records found in UCB.
