Call Number Type	ISBN	Target	Date Attempted	Reason
LCCN	9780984314515	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9780984314515	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9780984314515	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9780989055406	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9780989055406	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9780989055406	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9781558628	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9781558628	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9781558628	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9782296139015	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9782296139015	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9782296139015	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9786022042358	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9786022042358	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9786022042358	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788498165821	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788498165821	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788498165821	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788849211849	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788849211849	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788849211849	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788849211856	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788849211856	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788849211856	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788876181320	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788876181320	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788876181320	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9788876181474	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9788876181474	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9788984323629	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9788984323629	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9789609831253	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9789609831253	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9789799420268	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9789799420268	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9789991939803	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9789991939803	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000001009	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000001009	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000017796	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000017796	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000017802	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000017802	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000017819	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000017819	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000017826	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000017826	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000072535	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000072535	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000072535	UCB	2026-04-10	No records found in UCB.
LCCN	9780000126832	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000126832	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000177070	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000177070	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000177100	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000177100	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000192363	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000198440	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000198440	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000204264	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000204264	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000204264	UCB	2026-04-10	No records found in UCB.
LCCN	9780000555014	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000555014	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000901033	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901033	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000901040	OpenLibrary	2026-04-10	Skipped due to retry window (3 days)
LCCN	9780000901040	Library of Congress	2026-04-10	Skipped due to retry window (3 days)
LCCN	9780000901040	UCB	2026-04-10	Skipped due to retry window (3 days)
LCCN	9780000901088	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901088	Library of Congress	2026-04-10	No records found in Library of Congress.
LCCN	9780000901095	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901095	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780000901101	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901101	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780000901125	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901125	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780000901132	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901132	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780000901149	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901149	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780000901163	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901163	Library of Congress	2026-04-10	Remote end closed connection without response
LCCN	9780000901170	OpenLibrary	2026-04-10	No records found in OpenLibrary.
LCCN	9780000901170	Library of Congress	2026-04-10	Remote end closed connection without response
