ISBN	LCCN	LCCN Source	Classification	NLM	NLM Source	Date
0792341058	QH323.5 .M52 1996	UPEI	QH			2026-04-10 11:44:17
0792344685	RC569 .S93626 2002	UPEI	RC			2026-04-10 11:44:17
0787964476	LB2831.9 .P75 2002	UPEI	LB			2026-04-10 11:44:17
0787966177	HQ770.4 .B67 2003	UPEI	HQ			2026-04-10 11:44:17
0306444488	TD196.L4 G66 1993	UPEI	TD			2026-04-10 11:44:17
030647137X	RA644.A25 M48 1993	UPEI	RA			2026-04-10 11:44:17
0306447932	QC611.98.H54 S48 1994	UPEI	QC			2026-04-10 11:44:17
0306448815	QC761.3 .I9 1994	UPEI	QC			2026-04-10 11:44:17
0306450550	RA644.A25 L68 1995	UPEI	RA			2026-04-10 11:44:17
0306452200	QC173 .A38 v.23 1996	UPEI	QC			2026-04-10 11:44:17
0306452405	R724 .L64 2002	UPEI	R			2026-04-10 11:44:17
0792397460	TK7874.75 .H33 2002	UPEI	TK			2026-04-10 11:44:17
0792342720	QA11 .C433 1996	UPEI	QA			2026-04-10 11:44:17
0306474522	RS431.P75 F676 2002	UPEI	RS			2026-04-10 11:44:17
0306469839	TK6680.5 .M69 2002eb	UPEI	TK			2026-04-10 11:44:17
0306470683	QC611.92 .F84 2002eb	UPEI	QC			2026-04-10 11:44:17
0412084112	TK6680.5 .H37 1997	UPEI	TK			2026-04-10 11:44:17
0751403520	TP242 .D69 1997	UPEI	TP			2026-04-10 11:44:17
0306469073	QD461 .F928 1999	UPEI	QD			2026-04-10 11:44:17
0792344405	QA13 .S35 1997	UPEI	QA			2026-04-10 11:44:17
0792343336	QE364 .M576 1997	UPEI	QE			2026-04-10 11:44:17
0792342313	QA13 .P38 2002	UPEI	QA			2026-04-10 11:44:17
0306468034	RS431.P75 P756 2002	UPEI	RS			2026-04-10 11:44:17
0792345177	QL638.A25 S78 1997	UPEI	QL			2026-04-10 11:44:17
0306454599	TP918.V37 C47 1997	UPEI	TP			2026-04-10 11:44:17
0306456192	QC173.458.C78 D96 1997	UPEI	QC			2026-04-10 11:44:17
0792344383	QA11 .M314 1997	UPEI	QA			2026-04-10 11:44:17
0306455285	QR201.R59 R53 1997	UPEI	QR			2026-04-10 11:44:17
