ISBN	LCCN	LCCN Source	Classification	Date
9780306406157	TK5102.5 .C52	OpenLibrary	TK	2026-04-06
9780134685991	QA76.73.J38	OpenLibrary	QA	2026-04-06
9780262033848	QA76.6 .C662 2009	Harvard LibraryCloud	QA	2026-04-06
9780131103627	QA76.73.C15 K47 1988	OpenLibrary	QA	2026-04-06
9780201633610	QA76.64 .D47 1995	Harvard LibraryCloud	QA	2026-04-06
0306406152	TK5102.5 .C52	OpenLibrary	TK	2026-04-06
0131103628	QA76.73.C15 K47 1988	OpenLibrary	QA	2026-04-06
0201633612	QA76.64 .D47 1995	Harvard LibraryCloud	QA	2026-04-06
9780000000002	PJ9269.A348 Y35 2020	Harvard LibraryCloud	PJ	2026-04-06
9781234567897	DT56.9 .H87 2020	Harvard LibraryCloud	DT	2026-04-06
9791234567896	PG1396.B6 H63 2018	Harvard LibraryCloud	PG	2026-04-06
0000000000	BJ1185.R6 U77 2018	Library of Congress	BJ	2026-04-06
123456789X	DT56.9 .H87 2020	Harvard LibraryCloud	DT	2026-04-06
