﻿ISBN,LCCN,LCCN Source,Classification,Date
9780271007410,PQ6353 .Z56 1991,UAlberta,PQ,2026-04-10
9780486474175,QA162 .P56 2010,UAlberta,QA,2026-04-10
9780521616287,RA483 .B25 1999,UAlberta,RA,2026-04-10
9781461482437,QH506,UAlberta,QH,2026-04-10
9781461494089,SB407,UAlberta,SB,2026-04-10
9781118727997,BF637.S4 A45 2014eb,UAlberta,BF,2026-04-10
9780000000002,PR6045.A97 Z62,UCB,PR,2026-04-10
9780000010001,TN270 .M665 1980,UCB,TN,2026-04-10
9780000020017,R856 .J68 2008,UCB,R,2026-04-10
9780000020055,R856 .J685 2010,UCB,R,2026-04-10
9780000020130,R856.A1 J6813 2012,UCB,R,2026-04-10
9780000020147,R856.A1 J67514 2012,UCB,R,2026-04-10
9780000020154,R856 .J6815 2012,UCB,R,2026-04-10
9780000020161,R856 .J6816 2012,UCB,R,2026-04-10
9780000020185,R856.A1 .J687 2013,UCB,R,2026-04-10
9780000020208,R856.A1 .J687 2014,UCB,R,2026-04-10
9780000021021,T174.7 .J6775 2008,UCB,T,2026-04-10
9780000021038,T174.7 .J683 2008,UCB,T,2026-04-10
9780000021175,T174.7 .J6817 2012,UCB,T,2026-04-10
9780000021182,T174.7 .J681819 2012,UCB,T,2026-04-10
9780000021205,T174.7 .J6820 2012,UCB,T,2026-04-10
9780000021243,T174.7 .J68 2013,UCB,T,2026-04-10
9780000021250,T174.7 .J68 2013,UCB,T,2026-04-10
9780000021281,T174.7 .J687 2014,UCB,T,2026-04-10
9780000022011,T177.A35 I581 2010,UCB,T,2026-04-10
9780000022073,T177.A35 I587 2012,UCB,T,2026-04-10
9780000022080,T177.A35 I588 2012,UCB,T,2026-04-10
9780000022110,TA160.6.A35 I58 2014,UCB,TA,2026-04-10
9780000022127,JX1977 .J687 2014,UCB,JX,2026-04-10
9780000023018,T174.7 .N361 2012,UCB,T,2026-04-10
9780000023025,T174.7 .N362 2012,UCB,T,2026-04-10
9780000023032,T174.7 .N363 2013,UCB,T,2026-04-10
9780000023049,T174.7 N364 2013,UCB,T,2026-04-10
9780000023056,T174.7 .N36 2013,UCB,T,2026-04-10
9780000023070,T174.7 .N366 2014,UCB,T,2026-04-10
9780000072535,PR365 .G7eb,UAlberta,PR,2026-04-10
9780000204264,P90 .N39 2007,UAlberta,P,2026-04-10
9780001064850,DS478.3 .A114 2008,UCB,DS,2026-04-10
9780002000918,PN56.5.H45 M49 2007,UCB,PN,2026-04-10
9780002005289,PR9199.3.B559 C66 2006,UCB,PR,2026-04-10
9780002005425,PR9199.4.G65 M36 2005,UAlberta,PR,2026-04-10
9780002005579,PR9199.3.H549 B43 2004,UAlberta,PR,2026-04-10
9780002005661,PR9199.4.M39 S74 2009,UAlberta,PR,2026-04-10
9780002005807,PR9199.3.F455 R58 2011,UAlberta,PR,2026-04-10
9780002005838,PR9369.4.D475 R48 2013,UAlberta,PR,2026-04-10
9780002005869,PR9199.3.W7 A638 2004,UAlberta,PR,2026-04-10
9780002005906,PR9199.3.D526 L37 2005,UAlberta,PR,2026-04-10
9780002006002,PR9199.3.F4669 C37 2005,UCB,PR,2026-04-10
9780002006897,PR9199.3.W7 O28 2007,UCB,PR,2026-04-10
9780002006903,PR9199.3.W7 O38 2008,UAlberta,PR,2026-04-10
9780002007023,PR9199.3.K4422 S56 2005,UCB,PR,2026-04-10
9780002007054,HD2809 .F736 2008,UCB,HD,2026-04-10
9780002007184,JV1075 .O63 2005,UCB,JV,2026-04-10
9780002007269,PR9199.3.H822 C68 2008,UAlberta,PR,2026-04-10
9780002007283,QL676.7 .S78 2007,UCB,QL,2026-04-10
9780002007344,UA600 .B468 2008,UAlberta,UA,2026-04-10
9780002007351,D810.S7 V25 2008,UCB,D,2026-04-10
9780002007764,G635.K2 M33 2008,UAlberta,G,2026-04-10
9780002007832,F1060.8.S56 R34 2007,UCB,F,2026-04-10
9780002007887,BJ1533.G8 V48 2008,UCB,BJ,2026-04-10
9780002008167,HB74.P65 H43 2009,UCB,HB,2026-04-10
