target_id	name	target_type	host	port	database	record_syntax	rank	selected
9	Library of Congress API	API					1	True
10	Harvard Library API	API					2	True
8	OpenLibrary API	API					3	True
5	NYC	Z3950	nyst.sirsi.net	8419	Unicorn	USMARC	4	True
11	cc	Z3950	cc	210	cc	USMARC	5	False
14	s	Z3950	s	210	s	USMARC	6	False
13	aass	Z3950	ss	210	ss	USMARC	7	False
15	sss	Z3950	s	210	s	USMARC	8	False
16	UAlberta	Z3950	ualapp.library.ualberta.ca	2200	unicorn	USMARC	9	True
17	xx	Z3950	xx	210	xx	USMARC	10	False
18	tt	Z3950	tt	210	tt	USMARC	11	False
19	Oxford	Z3950	library.ox.ac.uk	210	44OXF_INST	USMARC	12	True
20	Toronto	Z3950	utoronto.alma.exlibrisgroup.com	1921	01UTORONTO_INST	USMARC	13	True
