ISBN	LCCN	NLMCN	Classification	Source	Date Added
9780203279090	BF724.85.C64T46 1997		BF	OpenLibrary	2026/03/08
9780203279106	G155.A1K5438 2002		G	OpenLibrary	2026/03/08
9780203279144	PN147.5.M45 2002		PN	OpenLibrary	2026/03/08
9780203279212	DG571 .G52 2003eb		DG	OpenLibrary	2026/03/08
9780203279229	HM1211 .C65 2003eb		HM	OpenLibrary	2026/03/08
9780203279250	JV6271 .C64 2001		JV	Toronto	2026/03/08
9780203279298	JC599.A785E45 2002		JC	OpenLibrary	2026/03/08
9780203279335	KZ1301.T69 2000		KZ	OpenLibrary	2026/03/08
9780203279342	LB2837.E39 2001		LB	OpenLibrary	2026/03/08
9780203279373	BR115.I6A95 1999		BR	OpenLibrary	2026/03/08
9780203279397	G155.A1D478 1998		G	OpenLibrary	2026/03/08
9780203279403	D395.W38 1999		D	OpenLibrary	2026/03/08
9780203279410	HD3616.E8B5 1998		HD	OpenLibrary	2026/03/08
9780203279465	HB122.P67 1997		HB	OpenLibrary	2026/03/08
